Sector,Sub-Sector,Use,Province,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Non Energy Ind,Non Energy Ind,End use Combustion of Energy Carriers,Manitoba,1366,1262,1132,1098,1085,1138,1244,1176,1227,1391,1383,1363,1564,1447,1560,1673,1734,1907,1960,1884,1613,1464,1512,1485,1418,1608,1713,1750,1489,1490,1487,1399,1559,1579
Energy Sector,Oil and Gas,Production of Energy Carriers,Manitoba,738,723,712,702,677,663,651,626,589,541,509,483,474,423,371,413,479,498,565,604,606,695,780,830,860,821,772,740,751,809,740,734,804,836
Energy Sector,Electricity,Production of Energy Carriers,Manitoba,519,385,389,299,311,198,304,272,1010,604,1070,550,458,812,611,361,425,501,446,202,92,122,112,120,126,124,69,69,41,40,41,56,48,74
Ind Processes,Ind Processes,Non-Energy Emissions,Manitoba,489,423,293,342,344,344,373,402,589,586,609,615,638,591,625,694,726,712,737,716,895,921,796,847,789,851,838,861,958,927,934,875,939,886
Agric,Agric,Non-Energy Emissions,Manitoba,4227,4346,4661,4671,5041,5204,5412,5586,5746,5605,5708,5656,5937,6201,6241,6053,6616,6095,6227,5830,5701,5374,5595,5891,5571,5763,5856,5931,6017,6023,6291,5957,5942,5763
Waste,Waste,Non-Energy Emissions,Manitoba,883,916,948,982,1015,1048,1081,1111,1141,1172,1197,1219,1240,1256,1274,1293,1306,1325,1344,1359,1380,1395,1413,1374,1338,1350,1363,1383,1392,1395,1203,1205,1363,1365
Transport,Road,End use Combustion of Energy Carriers,Ontario,34122,32915,33521,34448,35559,35907,36247,37860,38349,39867,40747,40692,41773,42818,45029,47131,46091,46276,45824,47059,48399,47703,45604,47292,46027,45306,44196,44123,45378,45971,37484,38993,40942,41197
Transport,Off Road,End use Combustion of Energy Carriers,Ontario,9075,8866,10155,10589,10547,11925,12631,12894,13422,14384,14255,12693,13219,12762,11541,12253,11371,9644,8843,7861,8084,8475,7917,8445,8051,9781,10316,10474,11054,10813,9507,10002,10522,10596
Transport,Marine,End use Combustion of Energy Carriers,Ontario,165,165,166,166,166,166,171,177,182,186,191,197,202,208,214,219,215,210,206,201,197,213,230,247,264,282,293,312,303,310,342,302,297,323
Transport,Rail,End use Combustion of Energy Carriers,Ontario,1884,1904,1883,1893,1972,1861,1867,1841,1817,1834,2010,2080,2108,1985,1988,2106,2061,2040,1997,1594,1719,1710,1736,1671,1864,1765,1554,1650,1544,1499,1341,1303,1268,1284
Transport,Air,End use Combustion of Energy Carriers,Ontario,2368,1998,1954,1800,1946,2059,2097,2194,2261,2378,2357,2181,2095,2113,2250,2218,2219,2210,2112,1923,1956,1953,2251,2342,2238,2267,2283,2412,2592,2591,1349,1575,2279,2457
Buildings,Residential,End use Combustion of Energy Carriers,Ontario,17119,16768,17958,19146,19978,19163,21188,19985,16318,17670,18794,17774,18633,20450,19185,19981,18360,20257,20353,18932,18113,19707,17590,19645,19611,19821,17129,17126,18037,18524,17164,16724,17321,15962
Buildings,Commercial,End use Combustion of Energy Carriers,Ontario,9168,9670,10302,10219,9993,9924,10994,11466,10393,11607,13113,13374,12493,13302,12867,12716,11316,11874,11892,11330,10870,11808,11018,12043,13338,12853,15649,15836,16598,16993,15416,13237,13808,13539
Non Energy Ind,Non Energy Ind,End use Combustion of Energy Carriers,Ontario,23750,22788,22458,21073,22319,23179,22914,23033,21773,22025,21483,20404,21299,20561,21045,19862,19454,20062,19154,16163,16882,18081,17939,18001,18497,17769,17911,18270,17416,17625,16293,17043,17762,17429
Energy Sector,Oil and Gas,Production of Energy Carriers,Ontario,8669,7905,8566,8799,8373,8287,9466,9390,9800,9548,9609,9597,10218,9992,10294,9423,9497,9745,9498,8971,9159,8928,8376,7712,7530,7047,7008,5484,5871,6455,6310,6714,6826,6894
Energy Sector,Electricity,Production of Energy Carriers,Ontario,25594,27214,26886,17840,15603,17784,20357,25908,34234,36240,43697,41164,40777,40719,32771,33903,30534,33653,28095,15180,20153,13497,13349,10243,6402,6342,5619,2595,4158,3965,4951,5735,6810,8279
Ind Processes,Ind Processes,Non-Energy Emissions,Ontario,29382,30278,30329,28811,30108,30805,31984,30565,27812,26017,25474,23589,25006,24612,28490,25262,25936,25354,25459,19259,21382,22828,24931,23857,24480,24026,24896,23589,24768,24039,21666,23084,22882,23410
Agric,Agric,Non-Energy Emissions,Ontario,9531,9293,9371,9379,9446,9701,9727,9692,9683,9539,9395,9336,9598,9723,9599,9367,9407,9083,8723,8862,8967,8837,8723,9017,8641,8670,8963,8927,8842,8986,9681,9507,9564,10092
Waste,Waste,Non-Energy Emissions,Ontario,7389,7682,7574,7714,7838,8006,7508,7241,7203,7258,7460,7384,7783,7815,7787,7980,7813,7678,7784,7451,7084,7311,7316,7546,7446,7337,7294,7128,7069,7172,7247,7362,7278,7265
Transport,Road,End use Combustion of Energy Carriers,Quebec,20806,19705,20218,21250,22135,21924,22596,22911,23423,23685,23274,22760,23009,24989,25220,24829,25073,26827,27299,26525,26416,26776,26193,25338,24479,25141,25949,26844,26443,26510,22316,24266,25655,26044
